,column,row,z_axis,cell_states
649,3261.0,7938.0,16.0,aCM3
650,3665.0,7938.0,12.0,aCM3
651,3077.0,7962.0,4.0,aCM1
652,2969.0,8026.0,24.0,aCM1
653,3389.0,8042.0,16.0,aCM1
654,2997.0,8066.0,24.0,aCM1
655,3093.0,8098.0,12.0,aCM3
656,3409.0,8110.0,12.0,aCM1
657,2917.0,8178.0,0.0,aCM3
658,3209.0,8186.0,24.0,aCM1
659,3177.0,8210.0,8.0,aCM1
660,3349.0,8226.0,12.0,aCM3
661,3013.0,8242.0,8.0,aCM1
662,3074.0,8701.0,19.0,aCM3
663,3197.0,8266.0,8.0,aCM1
664,3633.0,8386.0,8.0,aCM1
665,2977.0,8418.0,20.0,aCM1
666,3673.0,8438.0,24.0,aCM1
